,第0次实验,第1次实验,第2次实验
0,0.030702653272288546,0.06554795625478965,0.006859251368195242
1,0.014821712714184948,0.03723724386095684,0.009345362445391562
2,0.014821712714184948,0.04410316826086212,0.009419847332205295
3,0.014821712714184948,0.018238865729072785,0.009419847332205295
4,0.005785167492113803,0.03900239142955693,0.00738136823798969
5,0.007533835491776442,0.018238865729072785,0.006859251368195242
6,0.004707882202417021,0.003492876017095269,0.00738136823798969
7,0.005785167492113803,0.006970962241861106,0.00738136823798969
8,0.007255605884424229,0.0314767672500172,0.00738136823798969
9,0.005785167492113803,0.003492876017095269,0.00738136823798969
10,0.005634723053500932,0.006436554012871001,0.006859251368195242
11,0.004707882202417021,0.006436554012871001,0.005571754208485233
12,0.0005150196184706183,0.00321687772093269,0.0024095880375238107
13,0.0004165105814174336,0.00321687772093269,0.002235452380795074
14,0.0021419836173182066,0.0038867806033590756,0.0006285910489250843
15,0.0005150196184706183,0.004604857084651905,0.0006866650729226324
16,0.0004165105814174336,0.0022146653021217107,0.00017472742427674583
17,8.351318659838144e-05,0.0022146653021217107,0.000649786363461584
18,8.351318659838144e-05,0.0022146653021217107,0.00017472742427674583
19,0.00013051007331010866,0.0022146653021217107,0.00017472742427674583
20,9.546780327226595e-05,0.000918582420514188,0.0004942040371556992
21,5.775873177889495e-05,8.58803510961462e-06,9.259734604363119e-05
22,8.190564377447916e-05,8.58803510961462e-06,9.259734604363119e-05
23,5.303496367068351e-05,8.58803510961462e-06,0.00012157841953345807
24,5.303496367068351e-05,0.0017353958492143657,8.554254674735123e-05
25,3.383403543306612e-05,8.58803510961462e-06,2.1563404717457745e-05
26,3.383403543306612e-05,8.58803510961462e-06,2.4505901050043453e-05
27,5.060842150985894e-05,8.58803510961462e-06,2.4505901050043453e-05
28,4.208266146859144e-05,0.000270302375953887,1.5906175460446817e-05
29,2.244388956885883e-06,8.58803510961462e-06,2.1563404717457745e-05
30,2.244388956885883e-06,4.765853249631836e-07,1.6516257155291984e-05
31,7.757121351763188e-07,8.58803510961462e-06,3.0293049965751124e-06
32,7.757121351763188e-07,4.765853249631836e-07,3.0293049965751124e-06
33,7.4481320263955566e-06,4.765853249631836e-07,2.212427221059462e-06
34,7.757121351763188e-07,8.58803510961462e-06,4.308871243198989e-06
35,7.757121351763188e-07,2.0839174502339633e-05,2.212427221059462e-06
36,7.757121351763188e-07,4.765853249631836e-07,1.5207248113357944e-06
37,7.757121351763188e-07,8.58803510961462e-06,2.212427221059462e-06
38,7.757121351763188e-07,6.743827437846787e-06,1.5207248113357944e-06
39,2.3411936256194844e-07,8.052977916859305e-06,1.5207248113357944e-06
40,1.0287424903368969e-07,4.765853249631836e-07,2.5934557618616906e-06
41,8.191424687497072e-08,4.765853249631836e-07,5.815206112950311e-07
42,1.3272385551887403e-07,4.246717733338307e-06,3.7350490438379423e-07
43,8.191424687497072e-08,4.765853249631836e-07,7.172500793408631e-08
44,3.471136132504075e-08,4.765853249631836e-07,1.31810702897592e-07
45,3.471136132504075e-08,4.1697042351072837e-07,1.4965109724470832e-07
46,3.471136132504075e-08,4.1697042351072837e-07,7.172500793408631e-08
47,2.359834308278574e-08,8.202353462016576e-08,2.735165548350324e-08
48,1.0246640662349045e-10,8.202353462016576e-08,7.172500793408631e-08
49,1.0246640662349045e-10,4.665471172856733e-07,2.735165548350324e-08
50,1.0246640662349045e-10,4.1697042351072837e-07,7.94391887543812e-09
51,6.174814064722789e-09,4.1697042351072837e-07,2.735165548350324e-08
52,1.0246640662349045e-10,8.202353462016576e-08,7.94391887543812e-09
53,6.37431989407635e-09,8.202353462016576e-08,7.94391887543812e-09
54,1.0246640662349045e-10,4.778551511725787e-07,2.9587167740277374e-09
55,1.0246640662349045e-10,4.1697042351072837e-07,2.393107750001014e-08
56,1.0246640662349045e-10,8.202353462016576e-08,2.9587167740277374e-09
57,1.0246640662349045e-10,1.610977949092549e-07,2.9587167740277374e-09
58,1.0246640662349045e-10,5.359615233664662e-09,1.3174535710693144e-09
59,1.0246640662349045e-10,1.6218152435984502e-07,1.3094878547200093e-09
60,1.0246640662349045e-10,6.558265454561141e-09,1.3094878547200093e-09
61,1.0279692727497796e-10,5.359615233664662e-09,4.6461660276810227e-10
62,1.0246640662349045e-10,5.359615233664662e-09,1.3174535710693144e-09
63,1.0246640662349045e-10,6.558265454561141e-09,4.6461660276810227e-10
64,2.2340577804122107e-11,6.558265454561141e-09,4.6461660276810227e-10
65,2.5257403697955083e-11,5.359615233664662e-09,4.6461660276810227e-10
