,t1,t3,e1,e3,best fitness,,,,,
0,0.473568584,0.484414072,0.841489479,0.499208895,0.044102411,,0.052862832,0.031171856,0.06501169,0.44532345
1,0.37086769,0.506551874,0.804899792,0.904790548,0.030497029,,0.258264621,0.013103748,0.105666897,0.005322831
2,0.46132942,0.423582004,0.778134072,0.863698691,0.023436029,,0.077341159,0.152835991,0.135406586,0.040334788
3,0.473568584,0.484414072,0.841489479,0.499208895,0.044102411,,0.052862832,0.031171856,0.06501169,0.44532345
4,0.555029282,0.442352788,0.593711875,0.726422488,0.041006386,,0.110058565,0.115294424,0.340320139,0.192863902
5,0.555029282,0.442352788,0.593711875,0.726422488,0.041006386,,0.110058565,0.115294424,0.340320139,0.192863902
6,0.37086769,0.506551874,0.804899792,0.904790548,0.030497029,,0.258264621,0.013103748,0.105666897,0.005322831
7,0.455578596,0.440655257,0.789904986,0.778249824,0.02242056,,0.088842809,0.118689486,0.122327793,0.135277973
8,0.463243259,0.462005457,0.772424213,0.738603979,0.020067794,,0.073513482,0.075989087,0.141750875,0.179328912
9,0.46132942,0.502530325,0.778134072,0.863698691,0.00911629,,0.077341159,0.00506065,0.135406586,0.040334788
10,0.46132942,0.502530325,0.778134072,0.863698691,0.017416505,,0.077341159,0.00506065,0.135406586,0.040334788
11,0.502669169,0.448235926,0.824542782,0.702169859,0.018688646,,0.005338338,0.103528147,0.083841353,0.219811267
12,0.46132942,0.502530325,0.778134072,0.863698691,0.00911629,,0.077341159,0.00506065,0.135406586,0.040334788
13,0.46132942,0.502530325,0.778134072,0.863698691,0.00911629,,0.077341159,0.00506065,0.135406586,0.040334788
14,0.46132942,0.502530325,0.778134072,0.863698691,0.013068674,,0.077341159,0.00506065,0.135406586,0.040334788
15,0.504500231,0.484608862,0.836237803,0.959076004,0.002364818,,0.009000462,0.030782275,0.070846885,0.065640004
16,0.504500231,0.484608862,0.836237803,0.959076004,0.007842463,,0.009000462,0.030782275,0.070846885,0.065640004
